"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","miasto","data","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Materiał.budynku","Dostępne.od","Wyposażenie","Informacje.dodatkowe"
"1:1","Zapytaj o cenę","26,55 m²","pełna własność","1 ","do wykończenia","4/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj","Bydgoszcz","19.12.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2","310 000 zł","35,74 m²","pełna własność","2 ","do wykończenia","3/5","balkon","350 zł","Zapytaj","tak","miejskie","Bydgoszcz","19.12.2022","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","silikat",NA,NA,NA
"1:3","199 000 zł","29,08 m²","pełna własność","1 ","do wykończenia","3/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny","1886","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","cegła",NA,NA,NA
"1:4","Zapytaj o cenę","33,09 m²","pełna własność","2 ","do wykończenia","4/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj","Bydgoszcz","19.12.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:5","295 000 zł","35 m²","Zapytaj","2 ","do zamieszkania","9/10","Zapytaj","300 zł","Zapytaj","Zapytaj","Zapytaj","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ",NA,NA,"plastikowe","nie",NA,NA,NA,"2022-07-04","meble",NA
"1:6","249 999 zł","34,5 m²","pełna własność","1 ","do zamieszkania","parter/4","Zapytaj","402 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","1992","blok","plastikowe","nie",NA,"domofon / wideofon","cegła",NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia"
"1:7","249 700 zł","37 m²","pełna własność","2 ","Zapytaj","2/3","balkon","320 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ","1960","blok",NA,"nie",NA,NA,"cegła",NA,NA,"piwnica"
"1:8","259 000 zł","35 m²","pełna własność","2 ","Zapytaj","1/3","Zapytaj","365 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ","1965","blok","plastikowe","nie","telewizja kablowa, telefon",NA,"cegła",NA,NA,"piwnica, oddzielna kuchnia"
"1:9","248 000 zł","36 m²","pełna własność","2 ","do zamieszkania","4/4","balkon","250 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","1967","blok","plastikowe","nie",NA,NA,"cegła",NA,NA,"piwnica, oddzielna kuchnia"
"1:10","265 000 zł","30,5 m²","Zapytaj","2 ","Zapytaj","2/3","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,NA
"1:11","237 000 zł","37,2 m²","Zapytaj","2 ","Zapytaj","1/11","Zapytaj","283 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ","1975",NA,"plastikowe","tak",NA,NA,"wielka płyta",NA,NA,"piwnica"
"1:12","210 000 zł","30,8 m²","spółdzielcze wł. z KW","1 ","do zamieszkania","4","balkon","Zapytaj","Zapytaj","tak","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","1990","blok","plastikowe","tak",NA,"teren zamknięty","wielka płyta",NA,"meble","piwnica, oddzielna kuchnia"
"1:13","260 000 zł","35,09 m²","pełna własność","2 ","do wykończenia","1/3","ogródek","350 zł","garaż/miejsce parkingowe","tak","miejskie","Bydgoszcz","19.12.2022","pierwotny","prywatny","2022","blok","plastikowe","tak",NA,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,NA,NA
"1:14","199 000 zł","30 m²","Zapytaj","1 ","Zapytaj","parter/10","balkon","280 zł","Zapytaj","Zapytaj","Zapytaj","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ",NA,NA,"plastikowe","tak",NA,NA,NA,NA,NA,"piwnica, oddzielna kuchnia"
"1:15","184 000 zł","26,44 m²","pełna własność","1 ","do wykończenia","1/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny","1886","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","cegła",NA,NA,NA
"1:16","249 000 zł","28,41 m²","pełna własność","2 ","do wykończenia","1/3","Zapytaj","Zapytaj","Zapytaj","Zapytaj","elektryczne","Bydgoszcz","19.12.2022","wtórny","prywatny",NA,"kamienica","drewniane","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła",NA,NA,NA
"1:17","415 000 zł","33 m²","pełna własność","2 ","do zamieszkania","2/6","balkon, taras","350 zł","garaż/miejsce parkingowe","tak","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","2021","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","silikat",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor","piwnica"
"1:18","377 000 zł","36 m²","pełna własność","2 ","do zamieszkania","1/4","balkon","450 zł","Zapytaj","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","2013","apartamentowiec","plastikowe","tak",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA
"1:19","249 000 zł","30,46 m²","pełna własność","2 ","do zamieszkania","1/2","Zapytaj","244 zł","Zapytaj","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny","1950","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","cegła",NA,"lodówka, meble, kuchenka, pralka","piwnica"
"1:20","209 000 zł","30 m²","Zapytaj","1 ","Zapytaj","2","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ",NA,NA,"plastikowe","tak",NA,NA,NA,NA,NA,NA
"1:21","229 000 zł","35 m²","Zapytaj","2 ","do zamieszkania","2/4","balkon","370 zł","Zapytaj","Zapytaj","Zapytaj","Bydgoszcz","19.12.2022","wtórny","biuro nieruchomości ",NA,NA,"plastikowe","nie",NA,NA,NA,NA,NA,"piwnica, oddzielna kuchnia"
"1:22","269 000 zł","35 m²","pełna własność","2 ","do zamieszkania","3/4","Zapytaj","290 zł","Zapytaj","tak","elektryczne","Bydgoszcz","19.12.2022","wtórny","prywatny","1905","kamienica","plastikowe","nie","internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica"
"1:23","349 000 zł","26,5 m²","pełna własność","2 ","do zamieszkania","4/4","balkon, taras","240 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","Bydgoszcz","19.12.2022","wtórny","prywatny","2021","apartamentowiec","plastikowe","tak","telewizja kablowa","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","silikat",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica"
"1:24","155 000 zł","36,5 m²","Zapytaj","2 ","Zapytaj","parter","Zapytaj","Zapytaj","Zapytaj","Zapytaj","piece kaflowe","Bydgoszcz","19.12.2022","wtórny","prywatny",NA,NA,"drewniane","nie",NA,NA,NA,NA,NA,"piwnica, oddzielna kuchnia"
"1:25","270 000 zł","32 m²","pełna własność","2 ","do zamieszkania","1/2","balkon","250 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny","2008","blok","plastikowe","nie",NA,NA,"cegła",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica"
"1:26","265 000 zł","30,5 m²","pełna własność","2 ","do zamieszkania","2/3","Zapytaj","120 zł","Zapytaj","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny","1950","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","cegła",NA,"lodówka, meble, kuchenka","oddzielna kuchnia"
"2","185 000 zł","25,5 m²","pełna własność","2 ","do zamieszkania","1/2","Zapytaj","310 zł","Zapytaj","Zapytaj","gazowe","Bydgoszcz","19.12.2022","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"drzwi / okna antywłamaniowe, domofon / wideofon","cegła",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA
