"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","Informacje.dodatkowe","miasto","data","Rok.budowy","Materiał.budynku"
"1:1","457 250 zł","36,58 m²","pełna własność","2 ","do zamieszkania","4/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","kamienica","drewniane","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Gdansk","19.12.2022",NA,NA
"1:2","746 000 zł","31,31 m²","pełna własność","1 ","do zamieszkania","3/5","balkon","270 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Gdansk","19.12.2022","2020",NA
"1:3","640 000 zł","36,7 m²","pełna własność","2 ","do wykończenia","4/6","balkon","450 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"pom. użytkowe","Gdansk","19.12.2022","2021","beton"
"1:4","380 000 zł","35 m²","pełna własność","2 ","do zamieszkania","2/4","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Gdansk","19.12.2022","2016",NA
"1:5","482 775 zł","36 m²","pełna własność","2 ","do wykończenia","1","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","gazowe","pierwotny","biuro nieruchomości ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Gdansk","19.12.2022","2022",NA
"1:6","393 518 zł","27,43 m²","pełna własność","1 ","do wykończenia","parter","taras","Zapytaj","garaż/miejsce parkingowe","Zapytaj","gazowe","pierwotny","biuro nieruchomości ","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,"piwnica","Gdansk","19.12.2022","2022",NA
"1:7","Zapytaj o cenę","30,03 m²","pełna własność","1 ","do wykończenia","2/4","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:8","Zapytaj o cenę","37,07 m²","pełna własność","1 ","do wykończenia","parter/4","ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:9","Zapytaj o cenę","32,99 m²","pełna własność","1 ","do wykończenia","> 10/17","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:10","Zapytaj o cenę","28,37 m²","pełna własność","1 ","do wykończenia","parter/4","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:11","359 500 zł","35,65 m²","pełna własność","2 ","do wykończenia","4/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:12","Zapytaj o cenę","37,37 m²","pełna własność","2 ","do wykończenia","1/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:13","457 601 zł","32,39 m²","pełna własność","2 ","do wykończenia","1/7","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:14","399 000 zł","36,6 m²","pełna własność","2 ","Zapytaj","5","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok",NA,"tak",NA,"domofon / wideofon",NA,"piwnica, oddzielna kuchnia","Gdansk","19.12.2022","1975","wielka płyta"
"1:15","399 000 zł","28 m²","pełna własność","1 ","do zamieszkania","> 10/11","Zapytaj","360 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,NA,NA,NA,"Gdansk","19.12.2022","1975","wielka płyta"
"1:16","439 000 zł","28 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","3/4","Zapytaj","370 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Gdansk","19.12.2022","1980","cegła"
"1:17","Zapytaj o cenę","32,96 m²","pełna własność","1 ","do wykończenia","parter/4","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:18","480 000 zł","33 m²","pełna własność","1 ","do zamieszkania","4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","gazowe","pierwotny","prywatny","apartamentowiec","plastikowe","nie",NA,NA,NA,NA,"Gdansk","19.12.2022","2021","cegła"
"1:19","550 000 zł","25,12 m²","pełna własność","1 ","do zamieszkania","2/3","Zapytaj","332,98 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"meble","piwnica","Gdansk","19.12.2022","1960","cegła"
"1:20","479 000 zł","31 m²","Zapytaj","2 ","Zapytaj","1/11","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny","blok","plastikowe","nie",NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:21","465 000 zł","38 m²","pełna własność","2 ","do zamieszkania","parter/2","Zapytaj","480 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Gdansk","19.12.2022","1975",NA
"1:22","549 500 zł","35 m²","pełna własność","1 ","do wykończenia","1/5","balkon, taras","450 zł","garaż/miejsce parkingowe","tak","miejskie","pierwotny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",NA,NA,"Gdansk","19.12.2022","2022","inne"
"1:23","345 000 zł","35,83 m²","pełna własność","1 ","do wykończenia","3/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:24","Zapytaj o cenę","34,31 m²","pełna własność","1 ","do wykończenia","3/5","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:25","439 000 zł","34 m²","pełna własność","2 ","do zamieszkania","1/4","balkon","250 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Gdansk","19.12.2022","2022","cegła"
"1:26","319 000 zł","28 m²","pełna własność","1 ","do zamieszkania","1/2","Zapytaj","207 zł","garaż/miejsce parkingowe","Zapytaj","elektryczne","wtórny","biuro nieruchomości ","kamienica","plastikowe","nie","telewizja kablowa",NA,"zmywarka, piekarnik, kuchenka","oddzielna kuchnia","Gdansk","19.12.2022","1910","cegła"
"1:27","590 000 zł","36 m²","Zapytaj","2 ","do zamieszkania","4/17","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","wtórny","prywatny","apartamentowiec",NA,"tak",NA,"domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, pralka",NA,"Gdansk","19.12.2022","2021",NA
"1:28","430 000 zł","34 m²","Zapytaj","2 ","do zamieszkania","1/3","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","nie",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka",NA,"Gdansk","19.12.2022","2022",NA
"1:29","629 900 zł","22,88 m²","pełna własność","1 ","do zamieszkania","4/7","balkon","370 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","apartamentowiec","aluminiowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, telewizor",NA,"Gdansk","19.12.2022","2020","żelbet"
"1:30","399 500 zł","35,64 m²","spółdzielcze wł. z KW","1 ","Zapytaj","9/10","balkon","300 zł","Zapytaj","tak","miejskie","wtórny","prywatny","blok",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia, pom. użytkowe","Gdansk","19.12.2022","1977",NA
"1:31","720 000 zł","34 m²","Zapytaj","1 ","do zamieszkania","1/5","balkon","350 zł","garaż/miejsce parkingowe","Zapytaj","inne","wtórny","biuro nieruchomości ","apartamentowiec",NA,"tak",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"Gdansk","19.12.2022","2021","cegła"
"1:32","Zapytaj o cenę","31,1 m²","pełna własność","1 ","do wykończenia","1/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:33","465 000 zł","32,5 m²","pełna własność","2 ","do zamieszkania","parter/4","ogródek","335 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","Gdansk","19.12.2022","2022",NA
"1:34","Zapytaj o cenę","32,66 m²","pełna własność","1 ","do wykończenia","parter/3","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:35","Zapytaj o cenę","32,15 m²","pełna własność","2 ","do wykończenia","3/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:36","440 000 zł","34 m²","Zapytaj","2 ","do zamieszkania","parter/3","ogródek","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","nie",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka",NA,"Gdansk","19.12.2022","2022",NA
"1:37","299 700 zł","28,03 m²","pełna własność","1 ","do wykończenia","parter/4","ogródek, taras","Zapytaj","garaż/miejsce parkingowe","Zapytaj","inne","pierwotny","prywatny","blok","plastikowe","tak","internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,NA,"Gdansk","19.12.2022","2023","pustak"
"1:38","420 000 zł","34,3 m²","spółdzielcze własnościowe","1 ","do zamieszkania","8/10","balkon","440 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"piwnica","Gdansk","19.12.2022","1978","wielka płyta"
"1:39","432 000 zł","33,8 m²","pełna własność","1 ","do remontu","1/4","Zapytaj","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","teren zamknięty, domofon / wideofon",NA,"piwnica, oddzielna kuchnia","Gdansk","19.12.2022","1950","cegła"
"1:40","444 000 zł","37 m²","pełna własność","1 ","do zamieszkania","3/2","Zapytaj","155 zł","Zapytaj","Zapytaj","elektryczne","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",NA,"Gdansk","19.12.2022","1932","cegła"
"1:41","555 000 zł","30 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","160 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","Gdansk","19.12.2022","1920","cegła"
"1:42","439 000 zł","36,61 m²","pełna własność","2 ","do zamieszkania","1/3","balkon","300 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, meble, piekarnik, kuchenka",NA,"Gdansk","19.12.2022","2022","cegła"
"2","489 000 zł","35,44 m²","pełna własność","1 ","do zamieszkania","parter/4","ogródek, taras","500 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","oddzielna kuchnia","Gdansk","19.12.2022","2009","cegła"
