"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Dostępne.od","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Informacje.dodatkowe","Materiał.budynku","miasto","data","Wyposażenie"
"1:1","165 000 zł","25 m²","pełna własność","1 ","do remontu","1/3","Zapytaj","100 zł","Zapytaj","tak","kotłownia","wtórny","prywatny","2022-12-14","1910","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty","oddzielna kuchnia","cegła","Katowice","19.12.2022",NA
"1:2","350 000 zł","32,57 m²","pełna własność","1 ","do zamieszkania","parter/5","taras","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2020","apartamentowiec","plastikowe","tak",NA,"teren zamknięty, domofon / wideofon, rolety antywłamaniowe",NA,NA,"Katowice","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"1:3","249 000 zł","32 m²","spółdzielcze własnościowe","2 ","do zamieszkania","7/11","balkon","400 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"1980","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica, pom. użytkowe","wielka płyta","Katowice","19.12.2022","meble"
"1:4","255 000 zł","37,8 m²","spółdzielcze własnościowe","2 ","Zapytaj","6/17","balkon","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,NA,"blok",NA,"tak",NA,NA,"piwnica",NA,"Katowice","19.12.2022",NA
"1:5","288 288 zł","30,03 m²","pełna własność","1 ","do wykończenia","1/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:6","288 000 zł","30 m²","pełna własność","1 ","do wykończenia","3/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:7","249 888 zł","26,03 m²","pełna własność","1 ","do wykończenia","1/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:8","252 491 zł","26,03 m²","pełna własność","1 ","do wykończenia","4/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:9","Zapytaj o cenę","31,8 m²","pełna własność","1 ","do wykończenia","2/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:10","249 888 zł","26,03 m²","pełna własność","1 ","do wykończenia","2/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:11","Zapytaj o cenę","28,86 m²","Zapytaj","1 ","do wykończenia","3/8","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","deweloper","2023-08-30","2022","apartamentowiec",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,NA,"Katowice","19.12.2022",NA
"1:12","267 384 zł","25,71 m²","pełna własność","1 ","do wykończenia","2/6","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:13","Zapytaj o cenę","29,47 m²","pełna własność","1 ","do wykończenia","1/16","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:14","580 000 zł","36,2 m²","pełna własność","2 ","do zamieszkania","parter/10","balkon, taras","Zapytaj","garaż/miejsce parkingowe","tak","miejskie","pierwotny","prywatny",NA,"2022","apartamentowiec","plastikowe","tak",NA,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,"inne","Katowice","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"1:15","365 000 zł","26,1 m²","pełna własność","1 ","do wykończenia","3/11","balkon, taras","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","prywatny",NA,"2024","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"Katowice","19.12.2022",NA
"1:16","255 000 zł","35 m²","spółdzielcze wł. z KW","2 ","do remontu","4/7","balkon","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","2022-12-14",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia, pom. użytkowe",NA,"Katowice","19.12.2022",NA
"1:17","321 968 zł","32,2 m²","pełna własność","2 ","do wykończenia","> 10/13","balkon","340 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica, pom. użytkowe","pustak","Katowice","19.12.2022",NA
"1:18","219 000 zł","38 m²","spółdzielcze własnościowe","2 ","do wykończenia","3/10","balkon","493 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"1970","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia, pom. użytkowe",NA,"Katowice","19.12.2022",NA
"1:19","354 700 zł","38 m²","pełna własność","2 ","do zamieszkania","4/14","balkon","480 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1980","blok","plastikowe","tak",NA,NA,"pom. użytkowe","wielka płyta","Katowice","19.12.2022","lodówka, kuchenka"
"1:20","385 000 zł","34 m²","pełna własność","1 ","do zamieszkania","5/6","balkon","180 zł","garaż/miejsce parkingowe","Film","miejskie","pierwotny","prywatny",NA,"2021","blok","plastikowe","tak",NA,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,NA,"Katowice","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"1:21","309 000 zł","28 m²","pełna własność","1 ","Zapytaj","3/5","Zapytaj","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2022","blok","plastikowe","nie",NA,NA,NA,"cegła","Katowice","19.12.2022",NA
"1:22","Zapytaj o cenę","25,35 m²","pełna własność","1 ","do wykończenia","1/11","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"1:23","185 000 zł","29 m²","pełna własność","1 ","do remontu","parter","Zapytaj","300 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"piwnica, oddzielna kuchnia",NA,"Katowice","19.12.2022",NA
"1:24","389 000 zł","33 m²","pełna własność","1 ","do zamieszkania","3/5","balkon","220 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,"2020","apartamentowiec",NA,"tak",NA,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"Katowice","19.12.2022",NA
"1:25","378 000 zł","38 m²","pełna własność","2 ","do zamieszkania","3","balkon, taras","Zapytaj","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2012","apartamentowiec","plastikowe","nie","telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,"cegła","Katowice","19.12.2022","lodówka, meble, piekarnik, kuchenka"
"1:26","317 493 zł","32,07 m²","pełna własność","2 ","do zamieszkania","4/4","Zapytaj","7 zł","Zapytaj","Zapytaj","elektryczne","wtórny","prywatny",NA,NA,"kamienica","plastikowe","nie",NA,NA,NA,"cegła","Katowice","19.12.2022","zmywarka, lodówka, piekarnik, kuchenka, pralka"
"1:27","171 777 zł","35 m²","pełna własność","2 ","do zamieszkania","1/2","Zapytaj","300 zł","garaż/miejsce parkingowe","Zapytaj","elektryczne","wtórny","prywatny",NA,NA,NA,"plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe","piwnica, pom. użytkowe","cegła","Katowice","19.12.2022","lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"1:28","179 000 zł","25 m²","spółdzielcze wł. z KW","2 ","Zapytaj","parter","Zapytaj","180 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok",NA,"nie","telewizja kablowa, internet",NA,NA,"wielka płyta","Katowice","19.12.2022",NA
"1:29","420 000 zł","34,45 m²","pełna własność","2 ","do zamieszkania","2","Zapytaj","500 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"2021","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"beton","Katowice","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"1:30","215 000 zł","25 m²","pełna własność","2 ","do zamieszkania","parter/3","Zapytaj","50 zł","Zapytaj","tak","kotłownia","wtórny","prywatny","2022-12-16","1930","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"cegła","Katowice","19.12.2022","lodówka, meble, piekarnik, kuchenka, pralka"
"1:31","375 570 zł","35,1 m²","pełna własność","2 ","do wykończenia","4/4","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2022","apartamentowiec",NA,"tak",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Katowice","19.12.2022",NA
"1:32","199 000 zł","30 m²","pełna własność","2 ","do zamieszkania","parter/3","Zapytaj","350 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1960","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica, pom. użytkowe","wielka płyta","Katowice","19.12.2022","meble"
"1:33","420 000 zł","33,26 m²","pełna własność","2 ","do zamieszkania","parter/7","ogródek, taras","350 zł","Zapytaj","tak","miejskie","wtórny","prywatny","2021-10-15","2020","apartamentowiec","drewniane","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",NA,NA,"Katowice","19.12.2022",NA
"1:34","285 000 zł","32,76 m²","pełna własność","1 ","do zamieszkania","3/4","balkon","380 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1986","blok",NA,"nie","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica, oddzielna kuchnia","wielka płyta","Katowice","19.12.2022","lodówka, meble, piekarnik, kuchenka"
"1:35","269 955 zł","25,71 m²","pełna własność","1 ","do wykończenia","3/6","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katowice","19.12.2022",NA
"2","305 000 zł","37 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","7/10","balkon","500 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","plastikowe","tak","internet",NA,NA,NA,"Katowice","19.12.2022","zmywarka, lodówka, piekarnik, kuchenka"
