"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","miasto","data","Informacje.dodatkowe","Dostępne.od","Materiał.budynku"
"1:1","660 000 zł","27,45 m²","pełna własność","1 ","do zamieszkania","3/10","balkon","Zapytaj","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ","2022","apartamentowiec","aluminiowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022",NA,NA,NA
"1:2","711 000 zł","33,11 m²","pełna własność","1 ","Zapytaj","3/5","Zapytaj","300 zł","Zapytaj","Zapytaj","Zapytaj","pierwotny","prywatny","2022",NA,NA,"tak","telewizja kablowa, internet",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,NA
"1:3","415 000 zł","30 m²","pełna własność","2 ","do zamieszkania","1/3","balkon","287 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","wtórny","prywatny","2022","blok","plastikowe","nie","telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022","piwnica, pom. użytkowe",NA,NA
"1:4","499 000 zł","26,35 m²","pełna własność","1 ","Zapytaj","3/3","balkon, ogródek","Zapytaj","Zapytaj","Film","Zapytaj","wtórny","biuro nieruchomości ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"Krakow","19.12.2022",NA,"2022-10-17",NA
"1:5","419 900 zł","27,11 m²","Zapytaj","1 ","Zapytaj","4/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"kamienica",NA,"nie",NA,NA,NA,"Krakow","19.12.2022",NA,"2022-10-24",NA
"1:6","410 000 zł","30,57 m²","pełna własność","1 ","do zamieszkania","5/10","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2006","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","meble","Krakow","19.12.2022",NA,NA,"pustak"
"1:7","429 000 zł","34,57 m²","spółdzielcze wł. z KW","2 ","do wykończenia","parter/7","balkon, taras","300 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022","pom. użytkowe",NA,"żelbet"
"1:8","487 000 zł","37 m²","pełna własność","2 ","do zamieszkania","2","Zapytaj","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"piekarnik, pralka","Krakow","19.12.2022","piwnica",NA,NA
"1:9","425 000 zł","37 m²","pełna własność","2 ","Zapytaj","2/5","ogródek, taras","300 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2022","apartamentowiec","plastikowe","tak",NA,"monitoring / ochrona",NA,"Krakow","19.12.2022",NA,NA,NA
"1:10","490 000 zł","32,69 m²","pełna własność","2 ","do wykończenia","1/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:11","434 980 zł","33,46 m²","Zapytaj","1 ","do wykończenia","1/4","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","deweloper","2021","blok",NA,"tak","internet, telefon",NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:12","Zapytaj o cenę","37,32 m²","pełna własność","2 ","do wykończenia","1/6","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:13","384 780 zł","36,3 m²","pełna własność","2 ","do wykończenia","2/3","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:14","Zapytaj o cenę","27,11 m²","pełna własność","1 ","do wykończenia","7/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:15","519 934 zł","34,2 m²","pełna własność","2 ","do zamieszkania","1/4","balkon","Zapytaj","Zapytaj","tak","miejskie","wtórny","prywatny","2022","apartamentowiec","plastikowe","tak","internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,NA
"1:16","329 000 zł","36,95 m²","pełna własność","2 ","do wykończenia","parter/5","balkon, ogródek, taras","300 zł","garaż/miejsce parkingowe","tak","miejskie","pierwotny","prywatny","2022","blok","plastikowe","nie","telewizja kablowa, telefon","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",NA,"Krakow","19.12.2022",NA,NA,"beton"
"1:17","235 000 zł","24,7 m²","pełna własność","2 ","do wykończenia","1/3","balkon, taras","50 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","wtórny","prywatny","2022","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"cegła"
"1:18","298 000 zł","18 m²","pełna własność","1 ","do zamieszkania","parter/4","Zapytaj","130 zł","garaż/miejsce parkingowe","Film","miejskie","wtórny","prywatny","1998","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe","lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022","piwnica",NA,"cegła"
"1:19","439 000 zł","32 m²","pełna własność","1 ","do zamieszkania","3/4","balkon","340 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022","oddzielna kuchnia",NA,"cegła"
"1:20","339 000 zł","30,3 m²","Zapytaj","2 ","do wykończenia","2","Zapytaj","Zapytaj","Zapytaj","tak","elektryczne","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:21","487 000 zł","36,6 m²","pełna własność","2 ","do zamieszkania","2/4","Zapytaj","350 zł","garaż/miejsce parkingowe","Film","miejskie","wtórny","biuro nieruchomości ","1957","blok","plastikowe","nie","telewizja kablowa, internet",NA,"meble","Krakow","19.12.2022","piwnica, oddzielna kuchnia",NA,NA
"1:22","369 000 zł","35,5 m²","Zapytaj","2 ","do wykończenia","3/3","Zapytaj","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:23","175 000 zł","15,14 m²","Zapytaj","1 ","do wykończenia","2/3","Zapytaj","Zapytaj","Zapytaj","tak","gazowe","pierwotny","prywatny",NA,"blok","plastikowe","nie",NA,NA,NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:24","269 000 zł","20,8 m²","Zapytaj","1 ","do wykończenia","1/2","Zapytaj","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"cegła"
"1:25","466 000 zł","31 m²","pełna własność","1 ","do zamieszkania","parter/9","ogródek","250 zł","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","prywatny","2022","blok",NA,"tak",NA,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, piekarnik","Krakow","19.12.2022","pom. użytkowe",NA,NA
"1:26","378 000 zł","36 m²","Zapytaj","2 ","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,NA,"plastikowe","nie",NA,NA,NA,"Krakow","19.12.2022","piwnica",NA,NA
"1:27","489 932 zł","30,45 m²","pełna własność","1 ","do zamieszkania","4/4","balkon","Zapytaj","Zapytaj","tak","miejskie","wtórny","prywatny","2022","apartamentowiec","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,NA
"1:28","369 000 zł","32,5 m²","pełna własność","2 ","do wykończenia","parter/5","ogródek","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","2022","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",NA,"Krakow","19.12.2022",NA,NA,NA
"1:29","375 000 zł","34 m²","spółdzielcze wł. z KW","1 ","do zamieszkania","6/10","balkon","400 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022","piwnica, oddzielna kuchnia",NA,"wielka płyta"
"1:30","390 000 zł","38 m²","pełna własność","2 ","do remontu","1/4","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1960","blok","plastikowe","nie",NA,NA,NA,"Krakow","19.12.2022","piwnica, oddzielna kuchnia",NA,NA
"1:31","229 000 zł","23,1 m²","Zapytaj","1 ","do wykończenia","1/2","Zapytaj","Zapytaj","garaż/miejsce parkingowe","tak","gazowe","wtórny","prywatny",NA,NA,"plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022","piwnica, pom. użytkowe",NA,NA
"1:32","155 000 zł","15,6 m²","Zapytaj","1 ","do wykończenia","suterena/3","Zapytaj","Zapytaj","garaż/miejsce parkingowe","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:33","550 000 zł","38 m²","Zapytaj","3 ","do zamieszkania","3/10","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","Krakow","19.12.2022","piwnica",NA,NA
"1:34","679 000 zł","32,56 m²","pełna własność","1 ","do zamieszkania","1/5","balkon","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2022","apartamentowiec","drewniane","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,NA
"1:35","339 000 zł","30,3 m²","Zapytaj","2 ","do wykończenia","Zapytaj","ogródek","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"szeregowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty",NA,"Krakow","19.12.2022",NA,NA,NA
"1:36","Zapytaj o cenę","37,6 m²","pełna własność","1 ","do wykończenia","7/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
"1:37","429 000 zł","25 m²","pełna własność","1 ","do zamieszkania","parter/4","Zapytaj","190 zł","Zapytaj","tak","miejskie","wtórny","prywatny","1975","blok","aluminiowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022","piwnica",NA,"cegła"
"1:38","319 000 zł","33,6 m²","pełna własność","2 ","do zamieszkania","parter/4","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1965","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon, rolety antywłamaniowe",NA,"Krakow","19.12.2022",NA,NA,"cegła"
"1:39","239 000 zł","24,5 m²","Zapytaj","1 ","do zamieszkania","1/2","balkon, taras","Zapytaj","Zapytaj","tak","gazowe","pierwotny","prywatny",NA,"blok",NA,"nie","internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,NA
"1:40","395 000 zł","37,9 m²","pełna własność","2 ","do remontu","3/4","balkon","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telefon","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022","piwnica, oddzielna kuchnia",NA,NA
"1:41","404 700 zł","37,56 m²","pełna własność","2 ","do zamieszkania","3/3","balkon","330 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny","2014",NA,"plastikowe","tak","internet","domofon / wideofon, monitoring / ochrona",NA,"Krakow","19.12.2022",NA,NA,NA
"1:42","245 000 zł","17 m²","udział","1 ","do zamieszkania","2/3","balkon","150 zł","garaż/miejsce parkingowe","Zapytaj","Zapytaj","wtórny","prywatny",NA,NA,"plastikowe","nie","telewizja kablowa, internet","teren zamknięty, domofon / wideofon","lodówka, meble, kuchenka","Krakow","19.12.2022",NA,NA,NA
"1:43","150 000 zł","23,2 m²","udział","1 ","do wykończenia","Zapytaj","balkon, ogródek","Zapytaj","garaż/miejsce parkingowe","Zapytaj","elektryczne","pierwotny","prywatny","2022","kamienica","plastikowe","nie",NA,"teren zamknięty",NA,"Krakow","19.12.2022","pom. użytkowe",NA,"pustak"
"1:44","349 000 zł","25,29 m²","pełna własność","1 ","do wykończenia","4/4","Zapytaj","200 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2023","blok","plastikowe","nie",NA,NA,NA,"Krakow","19.12.2022",NA,NA,"beton"
"1:45","340 000 zł","25 m²","pełna własność","1 ","do zamieszkania","1/1","Zapytaj","230 zł","Zapytaj","Film","kotłownia","wtórny","prywatny","1970","dom wolnostojący","plastikowe","nie","internet","teren zamknięty, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,"pustak"
"1:46","440 000 zł","35,53 m²","pełna własność","2 ","do wykończenia","1/6","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","tak",NA,"monitoring / ochrona",NA,"Krakow","19.12.2022",NA,NA,"żelbet"
"1:47","215 000 zł","23,6 m²","Zapytaj","1 ","do wykończenia","parter/1","Zapytaj","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:48","269 000 zł","33,6 m²","Zapytaj","2 ","do wykończenia","Zapytaj","Zapytaj","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"dom wolnostojący","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,NA
"1:49","285 000 zł","26,6 m²","Zapytaj","2 ","do wykończenia","1/4","balkon","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"pustak"
"1:50","165 000 zł","16,45 m²","pełna własność","1 ","do wykończenia","parter/4","Zapytaj","114 zł","Zapytaj","Zapytaj","inne","wtórny","prywatny","1956","blok","plastikowe","nie",NA,NA,NA,"Krakow","19.12.2022",NA,NA,"cegła"
"1:51","499 750 zł","38 m²","pełna własność","2 ","do zamieszkania","8/8","balkon","450 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak","telewizja kablowa, internet",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka","Krakow","19.12.2022","piwnica",NA,"inne"
"1:52","209 000 zł","19,7 m²","Zapytaj","1 ","do wykończenia","1/2","Zapytaj","150 zł","Zapytaj","tak","kotłownia","pierwotny","prywatny",NA,"blok","plastikowe","nie",NA,"teren zamknięty",NA,"Krakow","19.12.2022","piwnica",NA,"pustak"
"1:53","380 000 zł","31,39 m²","pełna własność","2 ","do wykończenia","1/5","balkon","300 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",NA,"Krakow","19.12.2022","oddzielna kuchnia",NA,"inne"
"1:54","465 000 zł","36,5 m²","pełna własność","2 ","do zamieszkania","1/7","Zapytaj","390 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1960","blok","plastikowe","nie",NA,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","Krakow","19.12.2022","piwnica",NA,"cegła"
"1:55","235 000 zł","20,1 m²","Zapytaj","1 ","do wykończenia","1","balkon","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,NA,"plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,NA
"1:56","359 000 zł","36,5 m²","Zapytaj","2 ","do wykończenia","3/3","Zapytaj","Zapytaj","Zapytaj","tak","kotłownia","wtórny","prywatny",NA,"apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,"cegła"
"1:57","817 000 zł","28,3 m²","pełna własność","1 ","do zamieszkania","3/5","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"kamienica","drewniane","tak","telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022",NA,NA,"cegła"
"2","259 000 zł","23,4 m²","Zapytaj","2 ","do wykończenia","1/2","balkon","100 zł","Zapytaj","tak","Zapytaj","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022",NA,NA,NA
