"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Dostępne.od","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","Informacje.dodatkowe","miasto","data","Materiał.budynku"
"1:1","549 000 zł","37,1 m²","pełna własność","2 ","do zamieszkania","7/10","Zapytaj","474 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2022-10-25","1968","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022",NA
"1:2","333 515 zł","18,7 m²","Zapytaj","1 ","do wykończenia","8/8","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2022","apartamentowiec","plastikowe","tak",NA,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022","beton komórkowy"
"1:3","469 000 zł","38 m²","pełna własność","2 ","Zapytaj","parter/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1972","blok","plastikowe","nie","telewizja kablowa","drzwi / okna antywłamaniowe, domofon / wideofon","piekarnik, kuchenka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:4","933 900 zł","33 m²","Zapytaj","2 ","Zapytaj","8/22","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,NA,NA,NA,"nie",NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:5","449 990 zł","31 m²","Zapytaj","1 ","do zamieszkania","1/3","balkon","350 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Warszawa","19.12.2022","beton"
"1:6","379 000 zł","21,01 m²","pełna własność","1 ","do zamieszkania","4/10","balkon","263 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2020","blok",NA,"tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"Warszawa","19.12.2022","beton"
"1:7","498 000 zł","27 m²","pełna własność","2 ","do zamieszkania","> 10/15","Zapytaj","Zapytaj","Zapytaj","FilmWirtualny spacer","Zapytaj","wtórny","biuro nieruchomości ",NA,NA,NA,"plastikowe","nie",NA,NA,"lodówka, meble, pralka",NA,"Warszawa","19.12.2022",NA
"1:8","439 990 zł","28 m²","Zapytaj","1 ","do zamieszkania","1/3","balkon","350 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022","beton"
"1:9","450 000 zł","26,6 m²","pełna własność","1 ","do zamieszkania","8/10","Zapytaj","360 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Warszawa","19.12.2022",NA
"1:10","561 804 zł","30,92 m²","pełna własność","1 ","do wykończenia","5/5","taras","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:11","Zapytaj o cenę","27,18 m²","pełna własność","1 ","do wykończenia","4/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:12","703 000 zł","35,68 m²","pełna własność","2 ","do wykończenia","parter/7","ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:13","Zapytaj o cenę","30,08 m²","pełna własność","1 ","do wykończenia","parter/4","ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:14","457 000 zł","27 m²","Zapytaj","2 ","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,NA,NA,NA,"nie",NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:15","288 000 zł","17,29 m²","pełna własność","1 ","do wykończenia","4/8","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022","cegła"
"1:16","530 000 zł","36 m²","pełna własność","2 ","do remontu","parter/5","Zapytaj","450 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1912","kamienica","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,"oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:17","530 000 zł","36,8 m²","pełna własność","2 ","do zamieszkania","1/10","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"1980","blok",NA,"tak",NA,"monitoring / ochrona","meble","piwnica, pom. użytkowe","Warszawa","19.12.2022","żelbet"
"1:18","339 000 zł","25,43 m²","pełna własność","1 ","do remontu","2/3","balkon","560 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"1901","kamienica",NA,"nie",NA,"monitoring / ochrona",NA,"piwnica, oddzielna kuchnia, pom. użytkowe","Warszawa","19.12.2022",NA
"1:19","423 565 zł","35,3 m²","pełna własność","1 ","do zamieszkania","1/4","balkon, taras","400 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2022-12-15","2009","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. użytkowe","Warszawa","19.12.2022","pustak"
"1:20","Zapytaj o cenę","34,08 m²","pełna własność","2 ","do wykończenia","parter/6","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:21","763 000 zł","35,46 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","2/6","balkon, taras","450 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"2020","blok","drewniane","nie","telewizja kablowa, internet","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor",NA,"Warszawa","19.12.2022","pustak"
"1:22","445 000 zł","35 m²","spółdzielcze własnościowe","2 ","do zamieszkania","parter/4","Zapytaj","500 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","drewniane","nie","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, telewizor","piwnica, oddzielna kuchnia, pom. użytkowe","Warszawa","19.12.2022","wielka płyta"
"1:23","475 000 zł","30 m²","spółdzielcze własnościowe","1 ","do zamieszkania","4/10","balkon","550 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1969","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:24","534 000 zł","36,3 m²","pełna własność","2 ","do zamieszkania","8/11","balkon","450 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,"1968","blok","plastikowe","tak",NA,"domofon / wideofon","meble, kuchenka","piwnica","Warszawa","19.12.2022","wielka płyta"
"1:25","449 000 zł","35,79 m²","spółdzielcze własnościowe","2 ","do zamieszkania","7/10","Zapytaj","518 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1992","blok","plastikowe","tak",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","pustak"
"1:26","359 000 zł","20 m²","pełna własność","1 ","do zamieszkania","6/6","Zapytaj","340 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2002","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Warszawa","19.12.2022",NA
"1:27","499 000 zł","25,12 m²","pełna własność","1 ","do zamieszkania","2/8","balkon","400 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"2021","apartamentowiec",NA,"tak","internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Warszawa","19.12.2022",NA
"1:28","429 000 zł","26 m²","pełna własność","1 ","do zamieszkania","7/7","Zapytaj","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1950","kamienica","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:29","449 900 zł","37 m²","spółdzielcze własnościowe","2 ","do zamieszkania","9/10","balkon","450 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1975","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","Warszawa","19.12.2022","żelbet"
"1:30","389 000 zł","30,9 m²","pełna własność","1 ","do remontu","1/7","balkon","485 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","drewniane","tak",NA,"domofon / wideofon",NA,"piwnica, oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:31","449 000 zł","25 m²","pełna własność","1 ","do zamieszkania","parter/4","ogródek, taras","400 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, pralka",NA,"Warszawa","19.12.2022","beton komórkowy"
"1:32","373 068 zł","28,92 m²","pełna własność","1 ","do wykończenia","4/6","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:33","490 000 zł","32 m²","spółdzielcze własnościowe","2 ","do zamieszkania","4/10","balkon","550 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"1975","blok","plastikowe","tak",NA,"drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022","wielka płyta"
"1:34","440 000 zł","38 m²","Zapytaj","2 ","do wykończenia","5/8","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","prywatny",NA,"2023","blok",NA,"tak",NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:35","400 000 zł","27,02 m²","pełna własność","1 ","do zamieszkania","1/9","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, kuchenka, pralka","oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:36","535 000 zł","37 m²","pełna własność","2 ","do zamieszkania","3/4","balkon","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:37","300 000 zł","20 m²","spółdzielcze własnościowe","1 ","do wykończenia","parter/9","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","drewniane","nie",NA,NA,NA,NA,"Warszawa","19.12.2022","cegła"
"1:38","476 000 zł","31,74 m²","pełna własność","1 ","do wykończenia","2/5","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:39","377 000 zł","34,3 m²","Zapytaj","2 ","Zapytaj","parter/9","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,"1962","blok",NA,"nie",NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:40","436 000 zł","29,26 m²","pełna własność","1 ","do wykończenia","parter/6","ogródek","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2021","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022",NA
"1:41","520 000 zł","37,2 m²","pełna własność","2 ","do zamieszkania","parter/10","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"1966","blok",NA,"tak",NA,"system alarmowy, monitoring / ochrona",NA,"piwnica, oddzielna kuchnia, pom. użytkowe","Warszawa","19.12.2022","żelbet"
"1:42","463 500 zł","30,92 m²","pełna własność","1 ","do zamieszkania","Zapytaj","Zapytaj","370 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"2001",NA,NA,"tak",NA,"monitoring / ochrona",NA,NA,"Warszawa","19.12.2022",NA
"1:43","389 000 zł","22 m²","pełna własność","1 ","do zamieszkania","2/5","Zapytaj","300 zł","garaż/miejsce parkingowe","Zapytaj","Zapytaj","wtórny","prywatny",NA,"1928","kamienica",NA,"nie",NA,"teren zamknięty, monitoring / ochrona","meble","piwnica","Warszawa","19.12.2022",NA
"1:44","449 000 zł","34 m²","pełna własność","1 ","do zamieszkania","6/6","balkon","550 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"1998","blok","plastikowe","tak",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,"piwnica, oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:45","455 000 zł","37 m²","pełna własność","1 ","do zamieszkania","1/3","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"1956","kamienica","plastikowe","nie","internet","drzwi / okna antywłamaniowe, domofon / wideofon","meble","piwnica","Warszawa","19.12.2022","cegła"
"1:46","349 000 zł","35,17 m²","pełna własność","2 ","do wykończenia","2/5","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,NA,"Warszawa","19.12.2022","inne"
"1:47","566 297 zł","31,03 m²","pełna własność","1 ","do wykończenia","parter/8","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:48","567 000 zł","30 m²","pełna własność","1 ","do wykończenia","1/4","balkon","420 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2012","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",NA,"oddzielna kuchnia","Warszawa","19.12.2022",NA
"1:49","329 000 zł","18 m²","pełna własność","1 ","do remontu","parter/3","Zapytaj","230 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"kamienica",NA,"nie",NA,NA,NA,NA,"Warszawa","19.12.2022","cegła"
"1:50","555 000 zł","27,09 m²","pełna własność","1 ","do wykończenia","6/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:51","439 000 zł","22,85 m²","pełna własność","1 ","do zamieszkania","7/8","Zapytaj","299 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1950","kamienica","plastikowe","tak","telewizja kablowa","domofon / wideofon","lodówka, meble, kuchenka, pralka",NA,"Warszawa","19.12.2022","cegła"
"1:52","335 000 zł","22 m²","pełna własność","1 ","do zamieszkania","parter/2","ogródek","230 zł","Zapytaj","Zapytaj","gazowe","wtórny","prywatny",NA,NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:53","830 000 zł","35,31 m²","pełna własność","2 ","do wykończenia","4/10","balkon","Zapytaj","Zapytaj","Film","miejskie","wtórny","prywatny",NA,"2021","apartamentowiec","drewniane","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022","żelbet"
"1:54","550 000 zł","37,39 m²","pełna własność","2 ","do zamieszkania","1/4","Zapytaj","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1953","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe","zmywarka, lodówka, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:55","519 000 zł","37 m²","pełna własność","2 ","do zamieszkania","1/10","balkon","433 zł","Zapytaj","Film","miejskie","wtórny","prywatny",NA,"1968","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","zmywarka, meble, kuchenka, pralka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:56","399 000 zł","28 m²","pełna własność","1 ","do wykończenia","5/7","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","pierwotny","prywatny",NA,"2023","apartamentowiec",NA,"tak",NA,"teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022",NA
"1:57","557 000 zł","35,2 m²","pełna własność","1 ","do wykończenia","3/3","Zapytaj","430 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"1954","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","oddzielna kuchnia","Warszawa","19.12.2022","cegła"
"1:58","545 000 zł","31,5 m²","pełna własność","1 ","do zamieszkania","3/3","Zapytaj","473 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1950","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Warszawa","19.12.2022","cegła"
"1:59","190 000 zł","25 m²","Zapytaj","2 ","do remontu","1/2","Zapytaj","180 zł","Zapytaj","Zapytaj","kotłownia","wtórny","prywatny",NA,"1987","blok","plastikowe","nie","telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022","beton komórkowy"
"1:60","760 000 zł","36,5 m²","Zapytaj","2 ","do wykończenia","> 10","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj","wtórny","prywatny",NA,"2022","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"oddzielna kuchnia","Warszawa","19.12.2022",NA
"1:61","Zapytaj o cenę","37,42 m²","pełna własność","2 ","do wykończenia","1/7","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:62","477 000 zł","36,2 m²","pełna własność","2 ","do zamieszkania","1/2","balkon","270 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","wtórny","prywatny","2022-11-20","1992",NA,"plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022","cegła"
"2","449 000 zł","32,15 m²","pełna własność","1 ","Zapytaj","2/3","balkon","350 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"1949","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. użytkowe","Warszawa","19.12.2022","cegła"
