"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Zabezpieczenia","miasto","data","Wyposażenie","Informacje.dodatkowe","Materiał.budynku","Dostępne.od","Media"
"1:1","388 927 zł","34 m²","pełna własność","2 ","do wykończenia","2/2","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak","monitoring / ochrona","Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:2","404 700 zł","33,17 m²","spółdzielcze własnościowe","3 ","do zamieszkania","4/4","Zapytaj","200 zł","Zapytaj","tak","miejskie","wtórny","prywatny","1960","blok","plastikowe","tak","teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica, pom. użytkowe",NA,NA,NA
"1:3","425 000 zł","35,7 m²","pełna własność","2 ","do zamieszkania","8","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka płyta",NA,NA
"1:4","Zapytaj o cenę","38 m²","pełna własność","1 ","do wykończenia","2/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:5","379 900 zł","35,74 m²","pełna własność","2 ","do wykończenia","1/2","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","pierwotny","biuro nieruchomości ","2022",NA,"plastikowe","nie",NA,"Wroclaw","19.12.2022",NA,"pom. użytkowe",NA,"2022-12-19",NA
"1:6","360 000 zł","21,48 m²","pełna własność","2 ","Zapytaj","1/6","Zapytaj","200 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2016","apartamentowiec","plastikowe","tak","drzwi / okna antywłamaniowe, domofon / wideofon","Wroclaw","19.12.2022",NA,NA,NA,NA,"telewizja kablowa, internet"
"1:7","369 898 zł","28,15 m²","pełna własność","1 ","do wykończenia","2/12","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:8","410 000 zł","35 m²","pełna własność","2 ","Zapytaj","7/11","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok",NA,"tak",NA,"Wroclaw","19.12.2022",NA,"piwnica, oddzielna kuchnia, pom. użytkowe","wielka płyta",NA,NA
"1:9","379 900 zł","35,75 m²","pełna własność","2 ","do wykończenia","1/2","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ","2022",NA,"plastikowe","nie",NA,"Wroclaw","19.12.2022",NA,"pom. użytkowe",NA,"2022-12-19",NA
"1:10","Zapytaj o cenę","38 m²","pełna własność","1 ","do wykończenia","3/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:11","320 000 zł","25,03 m²","spółdzielcze własnościowe","1 ","do zamieszkania","2/4","balkon","330 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1965","blok","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022",NA,"piwnica","cegła",NA,NA
"1:12","340 849 zł","27,51 m²","pełna własność","1 ","do wykończenia","2/2","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:13","599 000 zł","37 m²","pełna własność","2 ","do zamieszkania","6/13","balkon","300 zł","Zapytaj","Zapytaj","gazowe","wtórny","prywatny","2017","apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Wroclaw","19.12.2022","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,NA,"telewizja kablowa, internet"
"1:14","Zapytaj o cenę","31,37 m²","pełna własność","1 ","do wykończenia","4/6","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:15","379 000 zł","36,26 m²","spółdzielcze własnościowe","2 ","do zamieszkania","4/4","balkon","435 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1966","blok","drewniane","nie","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka płyta",NA,"telewizja kablowa, internet"
"1:16","325 000 zł","24 m²","pełna własność","1 ","do zamieszkania","parter/5","Zapytaj","200 zł","Zapytaj","Zapytaj","elektryczne","wtórny","prywatny","1900","kamienica","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, kuchenka, pralka","piwnica","cegła",NA,NA
"1:17","299 000 zł","32,71 m²","pełna własność","1 ","do zamieszkania","parter/3","Zapytaj","220 zł","Zapytaj","tak","miejskie","wtórny","prywatny","2001","blok","plastikowe","nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble",NA,"pustak",NA,"telewizja kablowa, internet, telefon"
"1:18","519 000 zł","37,5 m²","pełna własność","2 ","do zamieszkania","1/5","balkon","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2022","blok","plastikowe","tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,NA,NA,"telewizja kablowa, internet"
"1:19","430 000 zł","35 m²","pełna własność","2 ","Zapytaj","5/6","balkon","440 zł","garaż/miejsce parkingowe","Zapytaj","Zapytaj","wtórny","prywatny","2012","apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,NA,NA
"1:20","355 000 zł","25 m²","spółdzielcze własnościowe","1 ","do wykończenia","1/4","Zapytaj","300 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"blok","drewniane","nie","drzwi / okna antywłamaniowe, domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, kuchenka, pralka","oddzielna kuchnia","cegła",NA,NA
"1:21","409 900 zł","36,51 m²","pełna własność","3 ","do zamieszkania","1/3","Zapytaj","150 zł","Zapytaj","Zapytaj","elektryczne","wtórny","prywatny","1930","kamienica","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica",NA,NA,"telefon"
"1:22","430 000 zł","36,45 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","4/4","balkon","440 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ","1964","blok","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, kuchenka, pralka","piwnica","inne",NA,"telewizja kablowa, internet, telefon"
"1:23","419 700 zł","34 m²","pełna własność","2 ","do zamieszkania","9/11","balkon","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,"Wroclaw","19.12.2022","zmywarka, piekarnik, kuchenka","oddzielna kuchnia","wielka płyta",NA,NA
"1:24","Zapytaj o cenę","29,96 m²","pełna własność","1 ","do wykończenia","2/6","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Zapytaj","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:25","399 000 zł","36,61 m²","pełna własność","2 ","do zamieszkania","2/10","balkon","780 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1979","blok","plastikowe","tak","domofon / wideofon","Wroclaw","19.12.2022","lodówka, piekarnik, kuchenka, pralka","piwnica","wielka płyta",NA,NA
"1:26","399 000 zł","28,55 m²","pełna własność","1 ","do zamieszkania","4/6","Zapytaj","100 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","wtórny","prywatny","2004","kamienica","plastikowe","tak","domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"cegła",NA,"telewizja kablowa, internet, telefon"
"1:27","190 000 zł","15 m²","pełna własność","1 ","Zapytaj","Zapytaj","Zapytaj","140 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,"blok",NA,"nie",NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:28","325 000 zł","20 m²","pełna własność","1 ","do zamieszkania","parter/4","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1965","blok","drewniane","nie","drzwi / okna antywłamaniowe","Wroclaw","19.12.2022","lodówka, meble, kuchenka","piwnica","cegła",NA,NA
"1:29","379 000 zł","33 m²","pełna własność","1 ","do zamieszkania","6/10","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2001","blok","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, kuchenka, pralka","pom. użytkowe","żelbet",NA,"internet, telefon"
"1:30","509 000 zł","34,6 m²","pełna własność","2 ","do zamieszkania","6/6","balkon","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2018",NA,"plastikowe","tak","teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","pom. użytkowe","inne",NA,"telewizja kablowa, internet, telefon"
"1:31","269 000 zł","22,6 m²","spółdzielcze własnościowe","1 ","Zapytaj","9/10","Zapytaj","150 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,"Wroclaw","19.12.2022",NA,"oddzielna kuchnia","wielka płyta",NA,NA
"1:32","419 999 zł","31 m²","Zapytaj","1 ","do zamieszkania","parter/3","ogródek","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","2017","blok","plastikowe","nie","teren zamknięty, domofon / wideofon, rolety antywłamaniowe","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","oddzielna kuchnia, pom. użytkowe",NA,NA,"telewizja kablowa, internet"
"1:33","375 000 zł","37,4 m²","Zapytaj","2 ","Zapytaj","5/10","Zapytaj","Zapytaj","Zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","tak",NA,"Wroclaw","19.12.2022",NA,"piwnica, oddzielna kuchnia",NA,NA,NA
"1:34","448 200 zł","37,5 m²","spółdzielcze własnościowe","2 ","do zamieszkania","4/11","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,"Wroclaw","19.12.2022",NA,"oddzielna kuchnia","wielka płyta",NA,NA
"1:35","210 000 zł","15 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","150 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ","1975","blok","plastikowe","nie",NA,"Wroclaw","19.12.2022","meble",NA,"wielka płyta",NA,"telewizja kablowa, internet"
"1:36","315 000 zł","15 m²","pełna własność","1 ","do zamieszkania","3/9","taras","390 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2017","apartamentowiec","plastikowe","tak","domofon / wideofon, monitoring / ochrona","Wroclaw","19.12.2022","lodówka, meble, kuchenka, telewizor, pralka",NA,"keramzyt",NA,"telewizja kablowa, internet"
"1:37","335 000 zł","27 m²","spółdzielcze wł. z KW","1 ","do zamieszkania","4/4","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","lodówka, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,NA,"internet, telefon"
"1:38","339 000 zł","28,09 m²","pełna własność","1 ","Zapytaj","4/5","Zapytaj","250 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"kamienica","plastikowe","nie",NA,"Wroclaw","19.12.2022",NA,"piwnica","cegła",NA,NA
"2","499 000 zł","38 m²","pełna własność","2 ","do zamieszkania","2/4","Zapytaj","450 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","nie","teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, piekarnik, kuchenka, telewizor","piwnica","cegła",NA,"telewizja kablowa, internet"
